Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),fraction unbound in plasma (fu),MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,moka_ionState7.4,moka_ionState7.4_anionic,moka_ionState7.4_cationic,moka_ionState7.4_neutral,moka_ionState7.4_zwitterionic,human VDss (L/kg) / fraction unbound in plasma (fu),human CL (mL/min/kg) / fraction unbound in plasma (fu)
Cefotiam,61622-34-2,0.26,5.8,0.5,0.76,0.84,525.63,13,3,172.5,10,-1.2,-4.3,zwitterionic,0.0,0.0,0.0,1.0,0.52,11.6
Cefoxitin,35607-66-0,0.17,3.6,0.73,0.79,0.81,427.45,10,3,148.3,8,-0.81,-3.8,anionic,1.0,0.0,0.0,0.0,0.23287671232876714,4.931506849315069
Cefozopran,113359-04-9,0.24,2.1,0.74,2.0,1.7,516.53,14,3,180.7,9,-1.3,-4.8,anionic,1.0,0.0,0.0,0.0,0.32432432432432434,2.837837837837838
Cefpiramide,70797-11-4,0.15,0.48,0.03,5.2,5.4,612.64,15,5,208.7,9,-0.78,-3.9,anionic,1.0,0.0,0.0,0.0,5.0,16.0
Cefpirome,84957-29-9,0.24,1.9,0.9,2.1,1.7,514.58,11,2,153.9,7,0.7,-1.6,anionic,1.0,0.0,0.0,0.0,0.26666666666666666,2.111111111111111
Cefprozil,92665-29-7,0.21,2.9,0.59,1.2,1.2,389.43,8,4,133.0,5,-0.39,-1.8,zwitterionic,0.0,0.0,0.0,1.0,0.3559322033898305,4.915254237288136
Cefroxadin,51762-05-1,0.17,4.78,0.1,0.59,0.74,365.4,8,3,122.0,5,-0.95,-3.5,zwitterionic,0.0,0.0,0.0,1.0,1.7,47.8
Ceftaroline fosamil,229016-73-3,0.53,83.6,0.8,0.11,0.09,684.68,16,4,223.2,11,-4.6,-7.1,anionic,1.0,0.0,0.0,0.0,0.6625,104.49999999999999
Ceftazidime,72558-82-8,0.31,2.4,0.79,2.2,1.8,546.58,13,3,191.2,9,-1.7,-4.1,anionic,1.0,0.0,0.0,0.0,0.3924050632911392,3.0379746835443036
Ceftizoxime,68401-81-0,0.2,2.1,0.72,1.6,1.5,383.4,10,3,147.2,5,-0.22,-3.2,anionic,1.0,0.0,0.0,0.0,0.2777777777777778,2.916666666666667
Ceftobiprole,209467-52-7,0.27,1.5,0.62,3.0,3.3,534.57,14,5,203.4,6,-1.5,-4.0,zwitterionic,0.0,0.0,0.0,1.0,0.435483870967742,2.4193548387096775
Ceftolozane,689293-68-3,0.17,1.16,0.81,2.39,2.58,666.69,20,8,294.9,12,-4.7,-9.0,zwitterionic,0.0,0.0,0.0,1.0,0.20987654320987653,1.4320987654320985
Ceftriaxone,73384-59-5,0.12,0.22,0.1,9.6,7.6,554.58,15,4,215.2,8,-3.2,-8.4,anionic,1.0,0.0,0.0,0.0,1.2,2.1999999999999997
Cefuzonam,82219-78-1,0.2,4.1,0.12,0.82,1.14,513.59,12,3,173.0,8,0.51,-2.5,anionic,1.0,0.0,0.0,0.0,1.6666666666666667,34.166666666666664
Cephalexin,15686-71-2,0.21,3.9,0.85,0.89,0.57,347.39,7,3,112.7,4,-0.27,-1.6,zwitterionic,0.0,0.0,0.0,1.0,0.24705882352941178,4.588235294117647
Cephaloridine,50-59-9,0.46,3.3,0.8,2.3,1.5,415.49,7,1,93.4,6,-1.5,-0.53,anionic,1.0,0.0,0.0,0.0,0.575,4.124999999999999
Cephalothin,153-61-7,0.07,1.8,0.22,0.65,0.95,396.44,8,2,113.0,7,0.069,-2.9,anionic,1.0,0.0,0.0,0.0,0.31818181818181823,8.181818181818182
Cephapirin,21593-23-7,0.13,2.7,0.55,0.8,1.2,423.46,9,2,125.9,8,-0.63,-3.6,anionic,1.0,0.0,0.0,0.0,0.23636363636363636,4.909090909090909
Cephradine,38821-53-3,0.21,3.3,0.95,1.1,0.85,349.4,7,3,112.7,4,0.48,-2.0,zwitterionic,0.0,0.0,0.0,1.0,0.22105263157894736,3.473684210526316
Cerivastatin,145599-86-6,0.33,2.9,0.01,1.8,1.8,459.55,6,3,99.9,11,4.3,1.1,anionic,1.0,0.0,0.0,0.0,33.0,290.0
Cetrorelix,120287-85-6,0.39,1.2,0.14,5.4,12.0,1431.04,31,17,495.7,39,1.0,-2.4,cationic,0.0,1.0,0.0,0.0,2.7857142857142856,8.571428571428571
Chlorambucil,305-03-3,0.26,2.8,0.01,1.5,1.1,304.21,3,1,40.5,9,3.8,1.2,anionic,1.0,0.0,0.0,0.0,26.0,280.0
Chloramphenicol,56-75-7,0.94,2.4,0.34,6.5,4.6,323.13,7,3,115.4,6,0.54,0.54,neutral,0.0,0.0,1.0,0.0,2.7647058823529407,7.058823529411764
Chlordiazepoxide,58-25-3,0.25,0.37,0.056,11.0,8.3,299.75,4,1,53.1,2,1.4,1.4,neutral,0.0,0.0,1.0,0.0,4.464285714285714,6.607142857142857
Chlormethiazole,533-45-9,6.6,33.0,0.36,3.3,4.5,161.65,1,0,12.9,2,1.9,1.9,neutral,0.0,0.0,1.0,0.0,18.333333333333332,91.66666666666667
Chloroquine,54-05-7,140.0,4.1,0.43,740.0,570.0,319.87,3,1,28.2,8,5.3,2.0,cationic,0.0,1.0,0.0,0.0,325.5813953488372,9.534883720930232
Chlorpheniramine,132-22-9,3.3,2.5,0.7,22.0,22.0,274.79,2,0,16.1,5,3.3,1.4,cationic,0.0,1.0,0.0,0.0,4.714285714285714,3.5714285714285716
Chlorpromazine,50-53-3,10.0,16.0,0.056,10.0,11.0,318.86,2,0,6.5,4,5.2,3.6,cationic,0.0,1.0,0.0,0.0,178.57142857142856,285.7142857142857
Chlorpropamide,94-20-2,0.19,0.045,0.03,70.0,46.0,276.74,5,2,75.3,4,2.1,-0.29,anionic,1.0,0.0,0.0,0.0,6.333333333333334,1.5
Chlortetracycline,57-62-5,0.9,2.0,0.52,7.4,7.0,478.88,10,6,181.6,2,-0.2,-3.1,anionic,1.0,0.0,0.0,0.0,1.7307692307692308,3.846153846153846
Chlorthalidone,77-36-1,3.9,1.5,0.24,43.0,36.0,338.77,6,3,109.5,2,0.85,0.84,neutral,0.0,0.0,1.0,0.0,16.25,6.25
Cibenzoline,53267-01-9,4.1,8.6,0.5,7.8,7.3,262.35,2,1,24.4,3,2.8,-0.64,cationic,0.0,1.0,0.0,0.0,8.2,17.2
Ciclesonide,126544-47-6,2.9,33.3,0.01,1.45,1.04,540.69,7,1,99.1,6,4.8,4.8,neutral,0.0,0.0,1.0,0.0,290.0,3329.9999999999995
Cidofovir,113852-37-2,0.49,2.5,1.0,3.3,2.6,279.19,9,4,145.7,6,-3.2,-8.4,anionic,1.0,0.0,0.0,0.0,0.49,2.5
Cilastatin,82009-34-5,0.15,2.3,0.6,1.1,0.86,358.45,7,4,129.7,11,-0.068,-4.6,anionic,1.0,0.0,0.0,0.0,0.25,3.833333333333333
Cilomilast,153259-65-5,0.23,0.5,0.006,8.5,7.9,343.42,5,1,79.6,6,3.6,0.89,anionic,1.0,0.0,0.0,0.0,38.333333333333336,83.33333333333333
Cimetidine,51481-61-9,1.2,8.1,0.78,2.5,2.2,252.34,6,3,88.9,8,-0.23,-0.29,neutral,0.0,0.0,1.0,0.0,1.5384615384615383,10.384615384615383
Cinacalcet ,226256-56-0,17.6,18.3,0.05,16.0,19.9,357.41,1,1,12.0,6,6.6,5.1,cationic,0.0,1.0,0.0,0.0,352.0,366.0
Ciprofloxacin,85721-33-1,2.1,8.3,0.7,4.2,3.8,331.34,6,2,72.9,3,1.8,-0.63,zwitterionic,0.0,0.0,0.0,1.0,3.0000000000000004,11.85714285714286
Cisapride,81098-60-4,1.2,1.5,0.02,12.9,11.7,465.95,7,2,86.0,9,3.5,3.0,cationic,0.0,1.0,0.0,0.0,60.0,75.0
Cisatracurium,96946-41-7,0.14,5.4,0.62,0.43,0.42,929.15,14,0,126.4,26,1.7,1.7,neutral,0.0,0.0,1.0,0.0,0.22580645161290325,8.70967741935484
Citalopram,59729-33-8,12.0,4.3,0.2,47.0,33.0,324.39,3,0,36.3,6,4.1,2.0,cationic,0.0,1.0,0.0,0.0,60.0,21.499999999999996
Cladribine,4291-63-8,7.7,14.0,0.79,9.2,16.0,285.69,8,3,119.3,2,-0.56,-0.56,neutral,0.0,0.0,1.0,0.0,9.746835443037975,17.72151898734177
Clarithromycin,81103-11-9,1.5,7.3,0.23,3.4,2.8,747.95,14,4,182.9,8,2.3,1.0,cationic,0.0,1.0,0.0,0.0,6.521739130434782,31.739130434782606
Clavulanic Acid,58001-44-8,0.22,3.1,0.91,1.0,0.9,199.16,6,2,87.1,2,-1.2,-4.6,anionic,1.0,0.0,0.0,0.0,0.24175824175824176,3.4065934065934065
Clazosentan,180384-56-9,0.23,10.5,0.02,0.4,2.6,577.57,15,3,200.1,12,2.9,-2.3,anionic,1.0,0.0,0.0,0.0,11.5,525.0
Clentiazem,96125-53-0,9.7,13.7,0.1,12.3,10.6,448.96,6,0,59.1,7,3.9,3.5,cationic,0.0,1.0,0.0,0.0,96.99999999999999,136.99999999999997
Clevidipine,167221-71-8,0.58,142.0,0.0038,0.07,0.3,456.32,7,1,90.9,10,4.4,4.4,neutral,0.0,0.0,1.0,0.0,152.6315789473684,37368.42105263158
Clinafloxacin,105956-97-6,1.9,4.7,0.96,6.7,5.4,365.79,6,2,86.9,3,2.6,0.29,zwitterionic,0.0,0.0,0.0,1.0,1.9791666666666667,4.895833333333334
Clindamycin,18323-44-9,0.79,4.5,0.06,2.9,2.1,424.98,7,4,102.3,7,1.3,0.96,cationic,0.0,1.0,0.0,0.0,13.166666666666668,75.0
Clodronate,10596-23-3,0.88,1.6,0.64,9.2,43.2,244.89,6,4,115.1,2,-1.2,-7.5,anionic,1.0,0.0,0.0,0.0,1.375,2.5
Clofarabine,123318-82-1,1.75,7.7,0.53,3.8,4.0,303.68,8,3,119.3,2,-0.77,-0.77,neutral,0.0,0.0,1.0,0.0,3.30188679245283,14.528301886792452
Clomipramine,303-49-1,13.0,8.2,0.029,26.0,26.0,314.85,2,0,6.5,4,5.1,3.4,cationic,0.0,1.0,0.0,0.0,448.27586206896547,282.7586206896551
Clonazepam,1622-61-3,2.9,0.88,0.15,55.0,38.0,315.71,6,1,87.3,2,2.7,2.7,neutral,0.0,0.0,1.0,0.0,19.333333333333332,5.866666666666667
Clonidine,4205-90-7,3.3,4.0,0.56,14.0,7.6,230.09,3,2,36.4,2,2.0,0.84,cationic,0.0,1.0,0.0,0.0,5.892857142857142,7.142857142857142
Clopidogrel,113665-84-2,2.01,23.65,0.02,1.42,5.06,321.82,3,0,29.5,4,3.3,3.3,neutral,0.0,0.0,1.0,0.0,100.49999999999999,1182.5
Clozapine,5786-21-0,1.6,2.5,0.055,11.0,10.0,326.82,4,1,30.9,1,4.5,4.1,cationic,0.0,1.0,0.0,0.0,29.090909090909093,45.45454545454545
Cobimetinib,934660-93-2,15.4,2.8,0.05,96.6,68.8,531.31,5,3,64.6,4,3.7,3.0,cationic,0.0,1.0,0.0,0.0,308.0,55.99999999999999
Cocaethylene,529-38-4,1.6,13.0,0.64,2.0,1.5,317.38,5,0,55.8,6,3.3,2.4,cationic,0.0,1.0,0.0,0.0,2.5,20.3125
Cocaine,50-36-2,2.0,32.0,0.12,1.0,0.76,303.35,5,0,55.8,5,2.8,1.9,cationic,0.0,1.0,0.0,0.0,16.666666666666668,266.6666666666667
Codeine,76-57-3,3.5,15.0,0.7,3.9,4.0,299.36,4,1,41.9,1,1.3,0.29,cationic,0.0,1.0,0.0,0.0,5.0,21.42857142857143
Colchicine,64-86-8,6.1,2.1,0.61,49.0,58.0,399.44,7,1,83.1,5,1.1,1.1,neutral,0.0,0.0,1.0,0.0,10.0,3.4426229508196724
Combretastatin A4 Phosphate,222030-63-9,0.11,5.86,0.23,0.3,0.47,396.33,8,2,103.7,8,2.9,-0.95,anionic,1.0,0.0,0.0,0.0,0.47826086956521735,25.47826086956522
Conivaptan,210101-16-9,0.76,3.0,0.01,4.2,6.7,498.57,6,2,78.1,4,5.5,5.0,cationic,0.0,1.0,0.0,0.0,76.0,300.0
Coumarin,91-64-5,1.1,23.6,0.17,0.78,0.8,146.14,2,0,30.5,0,1.6,1.6,neutral,0.0,0.0,1.0,0.0,6.470588235294118,138.8235294117647
CP-65207,96865-21-3,0.21,5.1,0.9,0.7,0.9,348.44,6,1,97.7,4,-1.8,-4.7,anionic,1.0,0.0,0.0,0.0,0.2333333333333333,5.666666666666666
Crizotinib,877399-52-5,22.15,9.75,0.09,37.9,38.9,450.34,6,2,78.0,5,4.3,2.3,cationic,0.0,1.0,0.0,0.0,246.11111111111111,108.33333333333334
Cyclophosphamide,50-18-0,0.73,1.1,0.87,11.0,8.0,261.09,4,1,41.6,5,0.79,0.55,neutral,0.0,0.0,1.0,0.0,0.8390804597701149,1.264367816091954
Cyclosporine,59865-13-3,3.3,7.5,0.068,7.3,7.3,1202.61,23,5,278.8,15,6.6,6.6,neutral,0.0,0.0,1.0,0.0,48.52941176470588,110.29411764705881
Cytarabine,147-94-4,0.67,41.67,0.87,0.28,0.17,243.22,8,4,128.6,6,-3.0,-3.0,neutral,0.0,0.0,1.0,0.0,0.7701149425287357,47.896551724137936
Dabigatran,211914-51-1,0.85,1.93,0.65,7.4,7.3,471.51,10,4,150.2,11,0.25,-1.1,zwitterionic,0.0,0.0,0.0,1.0,1.3076923076923077,2.969230769230769
Dabrafenib,1195765-45-7,0.65,2.86,0.003,3.8,2.6,519.56,7,2,110.9,5,5.3,5.2,neutral,0.0,0.0,1.0,0.0,216.66666666666666,953.3333333333333
Dacarbazine,4342-03-4,1.2,2.6,1.0,7.8,6.2,182.18,7,2,99.7,3,-0.12,-0.12,neutral,0.0,0.0,1.0,0.0,1.2,2.6
Dacinostat,404951-53-7,2.17,7.6,0.23,4.78,12.43,379.45,6,4,88.6,9,1.8,1.5,cationic,0.0,1.0,0.0,0.0,9.434782608695652,33.04347826086956
Daclatasvir,1009119-64-5,0.67,1.0,0.01,11.19,13.5,738.88,14,4,174.6,13,5.3,5.2,neutral,0.0,0.0,1.0,0.0,67.0,100.0
Dalbavancin,171500-79-1,0.14,0.01,0.02,230.0,170.0,1816.69,38,21,572.5,22,4.3,0.73,zwitterionic,0.0,0.0,0.0,1.0,7.000000000000001,0.5
Dalfampridine,504-24-5,2.6,9.3,1.0,4.7,3.6,94.11,2,1,38.9,0,-0.12,-1.4,cationic,0.0,1.0,0.0,0.0,2.6,9.3
Dalfopristin,112362-50-2,0.39,16.0,0.82,0.41,0.74,690.85,13,2,176.7,7,0.6,0.6,neutral,0.0,0.0,1.0,0.0,0.475609756097561,19.51219512195122
Danoprevir,850876-88-9,0.22,11.53,0.02,0.32,1.81,731.83,14,3,180.5,7,4.4,1.4,anionic,1.0,0.0,0.0,0.0,11.0,576.5
Dapagliflozin,461432-26-8,1.7,3.0,0.09,9.5,12.2,408.87,6,4,99.4,6,2.3,2.3,neutral,0.0,0.0,1.0,0.0,18.88888888888889,33.333333333333336
Dapsone,80-08-0,0.83,0.48,0.25,29.0,22.0,248.3,4,2,86.2,2,0.97,0.97,neutral,0.0,0.0,1.0,0.0,3.32,1.92
Daptomycin,103060-53-3,0.088,0.16,0.083,9.2,8.1,1620.67,43,22,702.0,35,-6.4,-9.0,anionic,1.0,0.0,0.0,0.0,1.0602409638554215,1.927710843373494
Darifenacin,133099-04-4,2.6,12.0,0.02,3.6,3.6,426.55,4,1,55.6,7,3.8,2.5,cationic,0.0,1.0,0.0,0.0,130.0,600.0
Daunorubicin,20830-81-3,32.05,47.57,0.06,11.23,14.24,527.52,11,5,185.8,4,1.0,-1.6,cationic,0.0,1.0,0.0,0.0,534.1666666666666,792.8333333333334
Decitabine,2353-33-5,4.6,130.0,1.0,0.59,0.58,228.21,8,3,120.7,2,-2.0,-2.0,neutral,0.0,0.0,1.0,0.0,4.6,130.0
Deferasirox,201530-41-8,0.2,0.84,0.004,4.07,4.05,373.36,7,3,108.5,7,4.5,1.3,anionic,1.0,0.0,0.0,0.0,50.0,210.0
Degarelix,214766-78-6,0.74,0.68,0.1,18.1,18.6,1632.26,34,17,512.9,41,2.9,0.72,cationic,0.0,1.0,0.0,0.0,7.3999999999999995,6.8
Delafloxacin,189279-58-1,0.35,2.33,0.16,2.5,2.1,440.76,8,3,121.7,3,2.5,-0.0083,anionic,1.0,0.0,0.0,0.0,2.1875,14.5625
Delorazepam (Chlordesmethyldiazepam),2894-67-9,2.2,0.17,0.051,220.0,200.0,305.16,3,1,41.5,1,3.6,3.6,neutral,0.0,0.0,1.0,0.0,43.13725490196079,3.333333333333334
Demethylchlortetracycline,127-33-3,1.3,1.1,0.59,17.0,12.0,464.85,10,6,181.6,2,-0.19,-2.9,anionic,1.0,0.0,0.0,0.0,2.203389830508475,1.864406779661017
Deramciclane,120444-71-5,7.7,4.88,0.05,26.6,26.6,301.47,2,0,12.5,5,4.0,2.6,cationic,0.0,1.0,0.0,0.0,154.0,97.6
Desipramine,50-47-5,15.0,11.0,0.16,23.0,22.0,266.38,2,1,15.3,4,3.8,1.4,cationic,0.0,1.0,0.0,0.0,93.75,68.75
Desmethyldiazepam,1088-11-5,0.45,0.12,0.03,63.0,46.0,270.71,3,1,41.5,1,3.0,3.0,neutral,0.0,0.0,1.0,0.0,15.000000000000002,4.0
Desvenlafaxine,93413-62-8,3.5,4.9,0.7,11.8,8.4,263.38,3,2,43.7,4,2.9,0.95,cationic,0.0,1.0,0.0,0.0,5.0,7.000000000000001
Dexamethasone,50-02-2,0.94,3.3,0.32,4.7,3.7,392.46,5,3,94.8,2,1.7,1.7,neutral,0.0,0.0,1.0,0.0,2.9374999999999996,10.3125
Dexfenfluramine,3239-44-9,11.0,11.0,0.66,18.0,14.0,231.26,1,1,12.0,4,3.5,1.7,cationic,0.0,1.0,0.0,0.0,16.666666666666664,16.666666666666664
Dexloxiglumide,119817-90-2,0.18,3.7,0.024,0.79,1.2,461.38,7,2,95.9,14,4.2,1.0,anionic,1.0,0.0,0.0,0.0,7.5,154.16666666666666
Dexmedetomidine,145108-58-3,1.6,11.0,0.06,2.5,2.2,200.28,2,1,28.7,2,2.8,2.7,neutral,0.0,0.0,1.0,0.0,26.666666666666668,183.33333333333334
Dexmethylphenidate,40431-64-9,2.65,6.67,0.87,6.62,8.0,233.31,3,1,38.3,4,2.1,0.84,cationic,0.0,1.0,0.0,0.0,3.045977011494253,7.666666666666667
Dexrazoxane,24584-09-6,0.55,3.1,1.0,3.0,2.5,268.27,8,2,98.8,3,-0.45,-0.5,neutral,0.0,0.0,1.0,0.0,0.55,3.1
Dezocine,53648-55-8,5.6,27.5,0.08,4.6,3.9,245.36,2,2,46.3,0,3.0,1.1,cationic,0.0,1.0,0.0,0.0,70.0,343.75
DHA Paclitaxel,199796-52-6,0.068,0.025,0.0038,45.0,60.0,1164.38,16,3,227.4,30,9.0,9.0,neutral,0.0,0.0,1.0,0.0,17.894736842105264,6.578947368421053
Diatrizoic Acid (Amidotrizoate),117-96-4,0.26,1.7,1.0,2.6,1.8,613.91,6,3,95.5,3,0.98,-2.3,anionic,1.0,0.0,0.0,0.0,0.26,1.7
Diazepam,439-14-5,1.0,0.38,0.023,44.0,42.0,284.74,3,0,32.7,1,2.8,2.8,neutral,0.0,0.0,1.0,0.0,43.47826086956522,16.52173913043478
Diazoxide,364-98-7,0.21,0.06,0.06,58.0,48.0,230.67,4,1,58.5,0,1.2,1.2,neutral,0.0,0.0,1.0,0.0,3.5,1.0
Diclofenac,15307-86-5,0.22,3.5,0.005,1.0,1.4,296.15,3,2,49.3,4,4.0,1.1,anionic,1.0,0.0,0.0,0.0,44.0,700.0
Dicloxacillin,3116-76-5,0.11,2.0,0.033,0.92,0.88,470.33,8,2,113.0,4,3.3,0.023,anionic,1.0,0.0,0.0,0.0,3.333333333333333,60.6060606060606
Didanosine,69655-05-6,0.77,11.0,0.95,1.2,1.4,236.23,7,2,88.7,2,-0.93,-0.95,neutral,0.0,0.0,1.0,0.0,0.8105263157894738,11.578947368421053
Dienogest,65928-58-7,0.6,1.29,0.1,8.52,11.0,311.42,3,1,61.1,2,2.1,2.1,neutral,0.0,0.0,1.0,0.0,5.999999999999999,12.9
Diflomotecan,220997-97-7,1.42,8.42,0.125682020829098,3.87,3.1,398.36,6,1,79.7,2,-0.7,-0.7,neutral,0.0,0.0,1.0,0.0,11.298354296283248,66.99446702444011
Diflunisal,22494-42-4,0.097,0.1,0.0016,14.0,10.0,250.2,3,2,57.5,2,3.7,0.31,anionic,1.0,0.0,0.0,0.0,60.625,62.5
Digitoxin,71-63-6,0.44,0.043,0.066,170.0,180.0,764.94,13,5,182.8,7,1.2,1.2,neutral,0.0,0.0,1.0,0.0,6.666666666666666,0.6515151515151514
Digoxin,20830-75-5,4.1,1.7,0.7,40.0,38.0,780.94,14,6,203.1,7,0.21,0.21,neutral,0.0,0.0,1.0,0.0,5.857142857142857,2.428571428571429
Dihydroergotamine,511-12-6,0.33,15.07,0.07,0.36,0.55,583.68,10,3,118.2,4,3.8,3.3,cationic,0.0,1.0,0.0,0.0,4.714285714285714,215.28571428571428
Dihydroquinidine,1435-55-8,2.8,4.2,0.22,11.0,5.7,326.43,4,1,45.6,4,3.2,1.7,cationic,0.0,1.0,0.0,0.0,12.727272727272727,19.09090909090909
Diltiazem,42399-41-7,4.1,13.0,0.18,5.3,5.6,414.52,6,0,59.1,7,3.1,2.7,cationic,0.0,1.0,0.0,0.0,22.777777777777775,72.22222222222223
Diphenhydramine,58-73-1,6.5,9.8,0.19,11.0,9.3,255.35,2,0,12.5,6,3.5,2.3,cationic,0.0,1.0,0.0,0.0,34.21052631578947,51.578947368421055
Diprafenone,81447-80-5,1.2,11.0,0.017,1.9,1.5,369.5,4,2,58.6,11,4.0,2.0,cationic,0.0,1.0,0.0,0.0,70.58823529411764,647.0588235294117
Dipyridamole,58-32-2,0.82,2.0,0.009,6.8,13.0,504.63,12,4,145.4,12,2.0,1.4,cationic,0.0,1.0,0.0,0.0,91.11111111111111,222.22222222222223
Disopyramide,3737-09-5,0.52,0.9,0.16,9.6,7.0,339.47,4,1,59.2,8,2.2,-0.11,cationic,0.0,1.0,0.0,0.0,3.25,5.625
Disufenton sodium,168021-79-2,0.18,1.35,0.6,2.2,3.6,381.33,8,0,140.5,3,-3.5,-8.5,neutral,0.0,0.0,1.0,0.0,0.3,2.2500000000000004
Docetaxel,114977-28-5,2.1,14.0,0.04,2.5,11.0,807.88,15,5,224.4,12,3.0,3.0,neutral,0.0,0.0,1.0,0.0,52.5,350.0
Dofetilide,115256-11-6,3.3,5.2,0.36,11.0,8.1,441.56,8,2,104.8,11,1.9,1.2,cationic,0.0,1.0,0.0,0.0,9.166666666666666,14.444444444444445
Dolasetron,115956-12-2,2.0,180.0,0.49,0.19,0.13,324.37,5,1,62.4,3,3.3,2.4,cationic,0.0,1.0,0.0,0.0,4.081632653061225,367.34693877551024
Domperidone,57808-66-9,3.4,9.5,0.082,6.0,7.5,425.91,7,2,67.9,5,3.6,3.1,cationic,0.0,1.0,0.0,0.0,41.46341463414634,115.85365853658536
Dopamine,51-61-6,0.74,65.9,0.87,0.19,0.42,153.18,3,3,66.5,2,0.56,-2.0,cationic,0.0,1.0,0.0,0.0,0.8505747126436781,75.74712643678161
Doripenem,148016-81-3,0.23,3.26,0.92,1.2,1.2,420.5,10,5,162.1,10,-1.5,-3.9,zwitterionic,0.0,0.0,0.0,1.0,0.25,3.543478260869565
Doxacurium,133814-18-3,0.22,2.7,0.53,1.4,1.7,1035.22,18,0,163.4,29,0.57,0.57,neutral,0.0,0.0,1.0,0.0,0.4150943396226415,5.09433962264151
Doxazosin,74191-85-8,1.3,1.6,0.017,14.0,10.0,451.48,10,1,112.3,4,2.6,2.6,neutral,0.0,0.0,1.0,0.0,76.47058823529412,94.11764705882352
Doxepin,1668-19-5,12.0,14.0,0.2,15.0,15.0,279.38,2,0,12.5,3,4.2,2.8,cationic,0.0,1.0,0.0,0.0,60.0,70.0
Doxifluridine,3094-09-5,0.28,11.0,0.61,0.46,0.35,246.19,7,3,99.1,1,-1.3,-1.5,neutral,0.0,0.0,1.0,0.0,0.459016393442623,18.0327868852459
Doxorubicin,23214-92-8,22.0,15.0,0.28,24.0,32.0,543.52,12,6,206.1,5,0.46,-2.2,cationic,0.0,1.0,0.0,0.0,78.57142857142857,53.57142857142857
Doxycycline,564-25-0,0.69,0.46,0.12,25.0,14.0,444.43,10,6,181.6,2,-0.64,-3.3,anionic,1.0,0.0,0.0,0.0,5.75,3.8333333333333335
Dronedarone,141626-36-0,20.0,33.33,0.02,10.0,16.0,556.76,7,1,89.1,18,7.3,4.7,zwitterionic,0.0,0.0,0.0,1.0,1000.0,1666.4999999999998
Drotaverine,14009-24-6,1.9,3.5,0.12,9.0,9.3,397.51,5,1,48.9,9,4.6,4.6,neutral,0.0,0.0,1.0,0.0,15.833333333333334,29.166666666666668
Edaravone,89-25-8,0.23,1.42,0.89,2.65,2.36,174.2,3,0,32.7,1,2.2,2.2,neutral,0.0,0.0,1.0,0.0,0.25842696629213485,1.595505617977528
Edoxaban,480449-70-5,1.53,5.19,0.5,4.91,6.7,548.06,11,3,136.6,6,1.5,1.3,neutral,0.0,0.0,1.0,0.0,3.06,10.38
Eletriptan,143322-58-1,1.6,5.3,0.15,5.0,4.2,382.52,4,1,53.2,6,3.7,2.2,cationic,0.0,1.0,0.0,0.0,10.666666666666668,35.333333333333336
Eltanolone,128-20-1,2.0,22.0,0.01,1.5,4.7,318.49,2,1,37.3,1,4.0,4.0,neutral,0.0,0.0,1.0,0.0,200.0,2200.0
Enalaprilat,76420-72-9,0.38,1.6,0.62,4.0,39.0,348.39,7,3,106.9,8,0.73,-3.4,anionic,1.0,0.0,0.0,0.0,0.6129032258064516,2.580645161290323
Enalkiren,113082-98-7,0.11,0.45,0.07,3.1,1.72,656.86,12,7,191.7,18,2.5,0.16,cationic,0.0,1.0,0.0,0.0,1.5714285714285714,6.428571428571428
Encainide,66778-36-7,2.2,13.0,0.26,2.8,2.6,352.47,4,1,41.6,6,4.7,3.0,cationic,0.0,1.0,0.0,0.0,8.461538461538462,50.0
Enfuvirtide,159519-65-0,0.07,0.36,0.08,3.2,4.0,4491.88,115,63,1902.9,151,-9.0,-9.0,anionic,1.0,0.0,0.0,0.0,0.8750000000000001,4.5
Enoxacin,74011-58-8,2.0,5.4,0.8,6.2,5.1,320.32,7,2,85.8,3,1.4,-1.1,zwitterionic,0.0,0.0,0.0,1.0,2.5,6.75
Enoximone,77671-31-9,1.48,19.1,0.3,1.33,1.94,248.3,4,2,65.7,3,1.3,1.3,neutral,0.0,0.0,1.0,0.0,4.933333333333334,63.66666666666667
Enprofylline,41078-02-8,0.63,4.0,0.55,2.6,1.8,194.19,6,2,78.1,2,-0.075,-1.4,anionic,1.0,0.0,0.0,0.0,1.1454545454545453,7.2727272727272725
Entacapone,130929-57-6,0.27,12.0,0.02,0.38,2.4,305.29,8,2,130.4,6,1.6,-0.08,anionic,1.0,0.0,0.0,0.0,13.5,600.0
Epirubicin,56420-45-2,45.0,20.0,0.25,38.0,36.0,543.52,12,6,206.1,5,0.46,-2.2,cationic,0.0,1.0,0.0,0.0,180.0,80.0
Epristeride,119169-78-7,0.54,0.33,0.03,27.0,27.0,399.57,4,2,66.4,2,4.8,2.2,anionic,1.0,0.0,0.0,0.0,18.000000000000004,11.000000000000002
Eprosartan,133040-01-4,0.17,1.9,0.017,1.5,2.1,424.51,6,2,92.4,10,4.4,-1.1,anionic,1.0,0.0,0.0,0.0,10.0,111.76470588235293
